Date,Inflation,Unemployment,Interest Rate,GDP,GDP Yearly Growth,NASDAQ,NASDAQ Yearly Growith
1/1/1984,5.0146534,10.4,8.68,3473.413,,230.59,
4/1/1983,4.828054152,10.2,8.8,3578.848,,268.73,
7/1/1983,3.69758219,9.4,9.37,3689.179,,321.58,
10/1/1983,4.709706722,8.8,9.48,3794.706,,294.64,
1/1/1984,4.852490457,8,9.56,3908.054,12.51336942,277.63,20.39984388
4/1/1984,4.47375382,7.7,10.29,4009.601,12.03607977,249.8,-7.044245153
7/1/1984,4.709706722,7.5,11.23,4084.25,10.70891383,237.91,-26.01840911
10/1/1984,3.496534119,7.4,9.99,4148.551,9.324701308,247.86,-15.87700244
1/1/1985,3.074902723,7.3,8.35,4230.168,8.242311903,245.91,-11.42527825
4/1/1985,4.493616325,7.3,8.27,4294.887,7.115072048,280.32,12.21777422
7/1/1985,2.431483442,7.4,7.88,4386.773,7.40706372,296.48,24.61855323
10/1/1985,3.462854485,7.1,7.99,4444.094,7.124005466,281.77,13.6811103
1/1/1986,4.423300377,6.7,8.14,4507.894,6.565365725,324.99,32.15810662
4/1/1986,4.169624405,7.1,6.99,4545.34,5.83142234,374.15,33.47246005
7/1/1986,4.019606265,7,6.56,4607.669,5.035501039,407.61,37.48313546
10/1/1986,4.170621039,7,5.85,4657.627,4.804871364,352.34,25.04524967
1/1/1987,5.358297846,6.6,6.43,4722.156,4.75303989,353.26,8.698729192
4/1/1987,4.73286577,6.3,6.37,4806.16,5.738184602,428.34,14.48349592
7/1/1987,4.187814481,6.1,6.58,4884.555,6.009242417,424.46,4.133853438
10/1/1987,3.784955092,6,7.29,5007.994,7.522435781,448.45,27.27762956
1/1/1988,3.318591387,5.7,6.83,5073.372,7.437619596,338.48,-4.183887222
4/1/1988,4.737497993,5.4,6.87,5190.036,7.98716647,371.89,-13.17878321
7/1/1988,4.570726716,5.4,7.75,5282.835,8.153864579,394.69,-7.013617302
10/1/1988,4.272697735,5.4,8.3,5399.509,7.8178009,384.48,-14.26468949
1/1/1989,4.681421776,5.4,9.12,5511.253,8.630965756,378.56,11.8411723
4/1/1989,4.879063021,5.2,9.84,5612.463,8.139192098,407.65,9.615746592
7/1/1989,5.814260244,5.2,9.24,5695.365,7.808875348,436,10.46644202
10/1/1989,5.169128098,5.3,8.84,5747.237,6.43999297,475.19,23.5929047
1/1/1990,5.216139935,5.4,8.23,5872.701,6.558363407,459.33,21.33611581
4/1/1990,5.314373822,5.4,8.26,5960.028,6.192735703,433.18,6.262725377
7/1/1990,5.302671688,5.5,8.15,6015.116,5.614231924,462.04,5.972477064
10/1/1990,4.553350484,5.9,8.11,6004.733,4.480344207,354.65,-25.36669543
1/1/1991,5.562784486,6.4,6.91,6035.178,2.7666486,372.19,-18.9711101
4/1/1991,3.372761236,6.7,5.91,6126.862,2.799215037,480.86,11.0069717
7/1/1991,4.442030312,6.8,5.82,6205.937,3.172357773,481.31,4.170634577
10/1/1991,2.335350136,7,5.21,6264.54,4.326703619,528.51,49.0229804
1/1/1992,1.732730355,7.3,4.03,6363.102,5.433543137,586.45,57.5673715
4/1/1992,2.428294262,7.4,3.73,6470.763,5.613003851,602.09,25.21108015
